
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won
77	1	0.192454	314106.554600	314106.548900	314307.696100	314307.692800	3	1	0.203583	315308.578000	315308.573300	315515.411100	315515.408000	CCNP001684	1
78	1	0.195355	318018.750400	318018.744900	318227.353300	318227.350300	2	1	0.235905	319228.153400	319228.148000	319467.438000	319467.434800	CCNP001684	0
79	2	0.197137	321971.115900	321971.110800	322179.292300	322179.289100	3	1	0.130860	323180.306600	323180.301900	323315.588700	323315.584500	CCNP001684	0
80	2	0.195406	325819.031000	325819.026100	326027.484000	326027.480700	3	2	0.268182	327028.377400	327028.373000	327299.791700	327299.788400	CCNP001684	1
81	2	0.188168	329803.227200	329803.221900	330003.205800	330003.202700	2	2	1.364000	331004.078700	331004.074100	332371.377300	332371.373700	CCNP001684	1
82	2	0.257723	334875.103700	334875.098600	335139.546000	335139.542900	2	2	0.252015	336140.508700	336140.503700	336395.845600	336395.842200	CCNP001684	1
83	1	0.192724	338899.365300	338899.359900	339107.836200	339107.832900	2	2	0.251326	340108.759300	340108.754800	340363.464400	340363.461300	CCNP001684	1
84	1	0.185984	342867.538500	342867.533500	343067.673000	343067.669700	2	2	0.251388	344068.622800	344068.617600	344323.341100	344323.338000	CCNP001684	1
85	1	0.226894	346826.801500	346826.796400	347059.164000	347059.160600	2	2	0.228438	348059.980000	348059.975400	348291.648100	348291.644800	CCNP001684	1
86	1	0.091911	350795.244600	350795.239800	350891.459600	350891.456400	2	2	0.179792	351892.360700	351892.355900	352075.518900	352075.515900	CCNP001684	1
87	1	0.180636	354578.946100	354578.940300	354763.393200	354763.389900	2	2	0.219504	355764.631900	355764.626100	355987.431900	355987.428800	CCNP001684	0
88	1	0.025198	358490.762500	358490.757500	358523.853700	358523.850300	2	2	0.107893	359524.807900	359524.803300	359636.069100	359636.065800	CCNP001684	1
89	1	0.006997	362139.611500	362139.605700	362155.462400	362155.458700	3	2	0.050770	363156.481600	363156.475100	363211.532000	363211.527900	CCNP001684	1
90	1	0.160210	365715.200200	365715.194700	365892.037000	365892.033700	2	2	0.163804	366892.970700	366892.965700	367060.051800	367060.048400	CCNP001684	0
91	1	0.299389	369563.449200	369563.443300	369867.222200	369867.218900	2	2	0.251880	370868.221800	370868.216700	371123.510200	371123.506700	CCNP001684	0
92	2	0.370899	373627.158700	373627.153700	374003.240500	374003.237000	3	2	0.196311	375004.243500	375004.223900	375203.883300	375203.880000	CCNP001684	1
93	2	0.208706	377707.213800	377707.208900	377923.750900	377923.747600	2	2	0.251507	378924.703500	378924.698900	379179.497200	379179.494100	CCNP001684	1
94	2	0.033317	381682.832500	381682.827100	381731.716000	381731.712700	3	2	0.099581	382732.608300	382732.603900	382835.516900	382835.513400	CCNP001684	0
95	1	0.334706	385339.755100	385339.749500	385683.369100	385683.365900	2	2	0.140446	386684.288400	386684.283700	386828.012600	386828.009300	CCNP001684	0
96	1	0.156125	389331.685500	389331.679900	389491.508000	389491.504700	2	1	0.171423	390492.366600	390492.362100	390667.386800	390667.383300	CCNP001684	1
97	1	0.037719	393170.547500	393170.542100	393219.670600	393219.666900	2	1	0.196299	394220.457900	394220.453100	394421.628000	394421.623700	CCNP001684	0
98	2	0.031595	396925.002800	396924.997800	396963.753700	396963.750400	3	2	0.227159	397965.186200	397965.180200	398195.741300	398195.738000	CCNP001684	0
99	2	0.167719	400699.245000	400699.240000	400883.238700	400883.235100	3	1	0.132011	401884.145400	401884.140700	402019.476300	402019.473000	CCNP001684	1
100	2	0.103783	404522.786800	404522.781700	404635.593700	404635.590600	3	1	0.083080	405636.503800	405636.496400	405723.447400	405723.443300	CCNP001684	1
101	2	0.115831	408226.918600	408226.913500	408348.136700	408348.131800	3	1	0.011007	409349.204400	409349.199500	409363.534200	409363.531000	CCNP001684	1
102	2	0.257438	411868.117900	411868.113000	412139.439200	412139.436000	2	1	0.123138	413140.333900	413140.329200	413267.497700	413267.493400	CCNP001684	0
103	2	0.373851	415771.509100	415771.500300	416155.756100	416155.752900	3	1	0.306568	417156.629000	417156.624400	417467.199300	417467.195800	CCNP001684	0
104	2	0.292811	419970.695300	419970.684200	420275.574100	420275.570100	3	1	0.323946	421276.378800	421276.374100	421603.620300	421603.617000	CCNP001684	0
105	2	0.199313	424107.720800	424107.715800	424315.155900	424315.151600	3	2	0.148256	425316.131800	425316.127000	425468.295000	425468.290900	CCNP001684	1
106	2	0.029503	427971.792400	427971.787400	428011.617700	428011.614400	3	2	0.379366	429012.560000	429012.555100	429395.333000	429395.329800	CCNP001684	0
107	1	0.040133	431899.022400	431899.017100	431955.516200	431955.512900	2	2	0.211634	432956.424300	432956.419700	433171.511300	433171.507700	CCNP001684	0
108	1	0.153578	435674.938200	435674.933400	435835.446000	435835.442900	2	2	0.100537	436836.332900	436836.328300	436940.021200	436940.017900	CCNP001684	0
109	1	0.186966	439443.373700	439443.368500	439635.570300	439635.566900	2	1	0.187951	440636.539100	440636.534100	440827.787300	440827.784000	CCNP001684	1
110	1	0.308849	443331.307900	443331.301300	443643.760700	443643.757400	2	1	0.195542	444644.662700	444644.658000	444843.861400	444843.858200	CCNP001684	1
111	1	0.148073	447347.264200	447347.259400	447499.605300	447499.601800	3	1	0.091757	448500.588900	448500.583500	448595.860500	448595.857200	CCNP001684	1
112	1	0.080305	451099.346900	451099.341500	451195.835400	451195.832100	2	1	0.187477	452196.712900	452196.708300	452387.643900	452387.640400	CCNP001684	0
113	2	0.257052	454891.084300	454891.079200	455155.698400	455155.694600	3	1	0.170785	456156.690500	456156.685900	456331.491500	456331.487200	CCNP001684	0
114	1	0.218272	458834.884700	458834.879700	459067.392500	459067.388300	2	1	0.052106	460068.324700	460068.320100	460123.794600	460123.791300	CCNP001684	0
115	1	0.162880	462627.229500	462627.224400	462795.641900	462795.637700	2	2	0.171264	463796.629700	463796.624800	463971.310400	463971.307300	CCNP001684	1
116	1	0.321617	466474.942300	466474.897500	466803.592700	466803.589600	2	2	0.131862	467804.537900	467804.533300	467939.618900	467939.615400	CCNP001684	0
117	2	0.043027	470442.910800	470442.905500	470491.626900	470491.623600	2	2	0.019697	471492.475500	471492.470900	471515.517500	471515.513900	CCNP001684	1
118	2	0.082961	474019.136900	474019.129000	474115.422900	474115.418700	2	2	0.052028	475116.307500	475116.302900	475171.804100	475171.799800	CCNP001684	0
119	2	0.105795	477675.629000	477675.623900	477787.989400	477787.985800	3	2	0.235620	478788.847600	478788.843000	479027.659800	479027.656500	CCNP001684	0
120	2	0.117077	481531.529700	481531.523300	481651.936600	481651.933400	3	1	0.227181	482652.851500	482652.846800	482883.365100	482883.361900	CCNP001684	0
121	1	0.244844	485386.888900	485386.865300	485643.556600	485643.553400	3	1	0.155710	486644.451800	486644.447100	486803.559800	486803.556400	CCNP001684	0
122	1	0.192133	489307.230000	489307.223800	489507.434700	489507.401700	2	2	0.467068	490508.253000	490508.248500	490979.436700	490979.432300	CCNP001684	0
123	1	0.024978	493482.950600	493482.944200	493524.032500	493524.029000	3	1	0.259029	494524.905000	494524.900400	494787.527800	494787.524300	CCNP001684	1
124	1	0.136763	497290.993400	497290.988500	497435.562000	497435.558700	3	1	0.202923	498436.488500	498436.483700	498643.349100	498643.344800	CCNP001684	1
125	1	0.219977	501146.753500	501146.748300	501371.412400	501371.409100	3	1	0.267641	502372.320200	502372.314700	502643.850300	502643.846800	CCNP001684	0
126	1	0.028083	505147.383900	505147.378900	505179.716700	505179.713000	3	1	0.115980	506180.594900	506180.590200	506299.925300	506299.922100	CCNP001684	1
127	1	0.115461	508803.512400	508803.507100	508931.828300	508931.823000	2	1	0.443756	509932.742800	509932.738500	510379.723900	510379.720600	CCNP001684	1
128	1	0.329311	512883.539500	512883.534600	513227.990200	513227.987000	2	1	0.242866	514228.941400	514228.936200	514475.347700	514475.344500	CCNP001684	0
129	1	0.076851	516978.733500	516978.728500	517059.445800	517059.442500	2	1	0.212366	518060.356100	518060.351500	518275.976900	518275.973600	CCNP001684	0
130	1	0.202603	520780.006300	520779.982800	520987.464900	520987.461700	2	2	0.027815	521988.407800	521988.403000	522019.595500	522019.592200	CCNP001684	0
131	2	0.071800	524523.561100	524523.555900	524603.958300	524603.955000	3	1	0.155095	525604.975700	525604.971100	525763.485100	525763.482100	CCNP001684	0
132	2	0.104646	528268.442100	528268.436700	528387.276800	528387.273200	3	1	0.132236	529388.132600	529388.128100	529523.806800	529523.803500	CCNP001684	1
133	2	0.082870	532027.228500	532027.223500	532115.846800	532115.842600	3	1	0.091929	533116.782000	533116.777200	533211.929700	533211.926500	CCNP001684	1
134	2	0.641000	536759.920400	536759.903600	537403.905100	537403.901900	3	1	0.211274	538404.797400	538404.792600	538619.550300	538619.547200	CCNP001684	0
135	2	0.127659	541122.920800	541122.915900	541260.013900	541260.010600	3	2	0.219238	542260.913400	542260.908600	542483.583700	542483.580400	CCNP001684	0
136	2	0.213159	544986.909800	544986.904800	545211.921200	545211.918000	3	1	0.355165	546212.895900	546212.891300	546571.544000	546571.540700	CCNP001684	1
137	1	0.129650	549075.152800	549075.147800	549211.932300	549211.929100	3	1	0.155493	550212.827000	550212.822000	550371.832700	550371.829300	CCNP001684	1
138	2	0.048633	552875.199300	552875.194000	552931.792900	552931.788600	2	1	0.148102	553932.702700	553932.698100	554084.110000	554084.106600	CCNP001684	0
139	2	0.212619	556587.493200	556587.488300	556811.396500	556811.393100	2	1	0.036273	557812.315500	557812.311000	557852.091500	557852.087400	CCNP001684	0
140	2	0.141208	560355.545700	560355.540800	560507.449300	560507.445000	3	1	0.523809	561508.284600	561508.279900	562035.437500	562035.434200	CCNP001684	1
141	2	0.030380	564538.868000	564538.863100	564579.371900	564579.368500	3	1	0.355519	565580.316600	565580.312000	565939.406200	565939.403100	CCNP001684	1
