
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won
114	2	0.842067	585343.587000	585343.580100	586191.893700	586191.890500	3	2	0.243708	587192.806800	587192.801600	587440.028400	587440.025000	CCNP001689	0
115	1	0.361797	589943.484800	589943.479500	590311.923300	590311.920300	2	1	0.451357	591312.994900	591312.989700	591767.983500	591767.980300	CCNP001689	0
116	1	0.340723	594271.325700	594271.320600	594623.992900	594623.989800	2	1	0.347572	595624.939200	595624.934300	595975.864900	595975.861800	CCNP001689	0
117	1	0.931329	598479.490200	598479.485100	599416.148400	599416.143900	2	1	0.250868	600416.957600	600416.953100	600672.180400	600672.176000	CCNP001689	0
118	2	0.288366	603175.638900	603175.633200	603471.729400	603471.726300	2	2	0.339852	604472.607600	604472.603200	604816.101000	604816.095400	CCNP001689	0
119	1	0.338297	607319.516800	607319.511900	607671.971400	607671.968200	3	2	0.268068	608672.862900	608672.858100	608944.538300	608944.535000	CCNP001689	0
120	1	0.250635	611447.883300	611447.877400	611703.960600	611703.957300	2	1	0.483567	612704.881900	612704.876200	613192.066800	613192.063700	CCNP001689	0
121	1	0.611139	615695.507600	615695.502700	616312.036400	616312.033200	3	1	0.324015	617312.949800	617312.941300	617640.368800	617640.365100	CCNP001689	1
122	1	0.338032	620143.717600	620143.712300	620488.004200	620488.001100	3	1	0.451545	621488.912900	621488.908000	621943.937700	621943.934500	CCNP001689	1
123	1	0.515783	624447.325400	624447.318300	624968.448900	624968.445600	2	1	0.411655	625969.355100	625969.350600	626384.424000	626384.420600	CCNP001689	1
124	1	0.731542	628888.315200	628888.310000	629631.935600	629631.932300	2	1	0.434792	630633.226000	630633.221100	631072.138500	631072.135300	CCNP001689	0
125	1	1.449242	633575.822700	633575.816700	635032.651300	635032.645900	3	1	1.153995	636033.512900	636033.508000	637192.010100	637192.006000	CCNP001689	1
126	1	0.916515	639695.370900	639695.366100	640616.528600	640616.525300	2	1	0.579016	641617.509400	641617.504100	642199.953200	642199.949200	CCNP001689	1
127	2	0.539544	644703.356000	644703.351300	645256.298600	645256.295200	3	1	0.419362	646257.253600	646257.248700	646679.935600	646679.932400	CCNP001689	1
128	1	2.048165	649183.620600	649183.615000	651248.272100	651248.268900	2	1	1.603127	652249.388400	652249.378600	653855.950600	653855.947500	CCNP001689	1
129	1	0.320813	656359.408500	656359.403900	656687.749000	656687.745900	3	1	0.483725	657688.702100	657688.697100	658175.982500	658175.978900	CCNP001689	1
130	1	0.636804	660679.523100	660679.518000	661320.084700	661320.081500	2	1	0.411385	662321.007400	662321.002500	662735.814300	662735.811100	CCNP001689	1
131	1	0.453829	665239.326800	665239.320800	665703.950700	665703.947600	2	1	0.467888	666704.840000	666704.835200	667176.076200	667176.073000	CCNP001689	0
132	1	0.316462	669679.496600	669679.491700	670000.014500	670000.011300	2	1	0.699803	671000.927600	671000.909400	671704.131200	671704.128100	CCNP001689	1
133	1	0.407376	674207.632100	674207.627300	674624.432400	674624.429000	2	1	0.355209	675625.237800	675625.233300	675983.956000	675983.952900	CCNP001689	1
134	1	1.127129	856709.934700	856709.929200	857839.831900	857839.828700	2	1	0.451723	858840.763700	858840.758600	859296.043100	859296.040000	CCNP001689	0
